kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,kelompok_usia,penduduk_pria,penduduk_wanita
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,0-4,5086,4744
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,5-6,2147,1929
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,7-9,2932,2707
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,10-12,2830,2612
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,13-14,1729,1653
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,15,828,768
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,16,696,690
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,17,710,746
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,18,703,657
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,19,634,559
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,20-24,3161,3134
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,25-29,3842,3734
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,30-34,3646,3340
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,35-39,3022,2717
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,40-44,2638,2363
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,45-49,2196,1976
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,50-54,1646,1571
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,55-59,1150,1070
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,60-64,804,932
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,65+,1069,1303
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,0-4,7093,6749
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,5-6,2779,2747
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,7-9,4004,3900
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,10-12,3815,3622
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,13-14,2477,2502
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,15,1166,1063
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,16,1050,1057
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,17,1061,1034
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,18,946,852
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,19,809,803
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,20-24,4294,4674
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,25-29,4758,4974
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,30-34,4244,4115
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,35-39,3566,3304
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,40-44,2843,2601
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,45-49,2157,2057
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,50-54,1727,1594
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,55-59,1199,1030
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,60-64,655,691
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,65+,1129,1368
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,0-4,9786,9256
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,5-6,4049,3867
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,7-9,6849,6483
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,10-12,7176,6558
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,13-14,4533,4240
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,15,2215,2181
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,16,2056,1904
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,17,2073,2022
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,18,1820,1843
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,19,1570,1600
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,20-24,7637,8447
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,25-29,8265,8807
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,30-34,7593,8657
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,35-39,7878,8031
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,40-44,6752,7049
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,45-49,5601,5851
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,50-54,4465,4530
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,55-59,3117,3171
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,60-64,2140,2556
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,65+,4151,5472
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,0-4,10823,10108
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,5-6,4191,3958
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,7-9,6787,6176
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,10-12,6783,6457
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,13-14,4733,4419
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,15,2313,2026
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,16,2075,2015
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,17,2006,1906
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,18,1864,1698
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,19,1649,1682
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,20-24,7377,7594
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,25-29,7398,7402
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,30-34,6690,6830
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,35-39,6079,6166
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,40-44,5035,5323
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,45-49,4064,4366
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,50-54,3511,3786
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,55-59,2331,2445
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,60-64,1384,1767
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,65+,2321,3472
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,0-4,22385,21106
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,5-6,8596,8119
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,7-9,13617,12727
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,10-12,12882,12117
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,13-14,7795,7663
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,15,3819,3803
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,16,3815,3758
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,17,3677,3671
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,18,3289,3313
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,19,3648,3478
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,20-24,17080,18181
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,25-29,16103,16601
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,30-34,13446,14151
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,35-39,12296,12235
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,40-44,9775,9913
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,45-49,8363,8754
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,50-54,6474,6178
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,55-59,4975,4590
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,60-64,3215,3533
11,Prov. Nanggroe Aceh Darussalam,1105,Kab. Aceh Timur,65+,5147,6187
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,0-4,10285,9798
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,5-6,3944,3800
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,7-9,6160,5969
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,10-12,5889,5708
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,13-14,3320,3393
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,15,1599,1604
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,16,1602,1521
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,17,1597,1438
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,18,1486,1556
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,19,1499,1576
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,20-24,7643,7699
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,25-29,8086,8133
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,30-34,7990,7869
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,35-39,7324,6753
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,40-44,5800,5298
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,45-49,4512,4321
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,50-54,3414,3135
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,55-59,2382,2248
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,60-64,1571,1763
11,Prov. Nanggroe Aceh Darussalam,1106,Kab. Aceh Tengah,65+,2690,3152
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,0-4,9102,8778
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,5-6,3154,3040
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,7-9,5048,4900
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,10-12,5086,4803
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,13-14,3491,3338
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,15,1668,1623
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,16,1625,1487
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,17,1733,1674
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,18,1629,1513
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,19,1518,1703
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,20-24,8061,8670
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,25-29,8632,8440
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,30-34,7704,7781
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,35-39,7450,6940
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,40-44,6025,5597
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,45-49,5014,4459
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,50-54,3835,3326
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,55-59,2586,2190
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,60-64,1776,1902
11,Prov. Nanggroe Aceh Darussalam,1107,Kab. Aceh Barat,65+,2953,3304
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,0-4,21142,19592
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,5-6,6850,6368
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,7-9,10227,9619
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,10-12,9566,8949
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,13-14,7187,6552
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,15,3634,3247
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,16,3378,3138
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,17,3432,3267
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,18,3567,3340
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,19,3807,3587
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,20-24,19083,18591
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,25-29,18652,17485
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,30-34,15206,14029
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,35-39,13623,12345
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,40-44,10760,9934
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,45-49,8894,8139
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,50-54,6775,6208
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,55-59,5220,4683
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,60-64,3550,3642
11,Prov. Nanggroe Aceh Darussalam,1108,Kab. Aceh Besar,65+,6022,8128
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,0-4,20235,19251
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,5-6,7612,7253
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,7-9,12428,11789
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,10-12,11917,11082
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,13-14,7960,7592
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,15,3947,3806
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,16,3900,3744
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,17,3908,3791
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,18,3609,3667
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,19,3464,3574
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,20-24,16668,18137
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,25-29,15593,16931
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,30-34,13792,15234
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,35-39,12946,13599
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,40-44,10665,11409
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,45-49,8760,10035
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,50-54,7598,8531
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,55-59,6374,6989
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,60-64,4595,5964
11,Prov. Nanggroe Aceh Darussalam,1109,Kab. Pidie,65+,7993,12766
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,0-4,19928,18642
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,5-6,7515,7065
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,7-9,12556,11852
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,10-12,12323,11509
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,13-14,8395,7691
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,15,4139,3951
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,16,4110,4207
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,17,4033,4099
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,18,3862,3871
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,19,4204,4149
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,20-24,18946,19745
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,25-29,17008,17710
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,30-34,14705,15700
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,35-39,13433,14285
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,40-44,11323,12039
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,45-49,9268,10503
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,50-54,7761,8437
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,55-59,6047,6637
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,60-64,4288,5432
11,Prov. Nanggroe Aceh Darussalam,1110,Kab. Bireuen,65+,7175,10745
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,0-4,29427,27470
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,5-6,11240,10599
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,7-9,18734,17937
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,10-12,17992,17322
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,13-14,11833,11459
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,15,5864,5790
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,16,5757,5880
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,17,5937,5966
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,18,5509,5632
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,19,5524,5502
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,20-24,26626,28106
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,25-29,22241,23813
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,30-34,19225,20651
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,35-39,17505,18158
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,40-44,14428,15055
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,45-49,12299,12835
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,50-54,10598,10703
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,55-59,7469,7099
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,60-64,5048,5966
11,Prov. Nanggroe Aceh Darussalam,1111,Kab. Aceh Utara,65+,9095,11457
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,0-4,6427,5994
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,5-6,2359,2263
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,7-9,4048,3913
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,10-12,4229,3904
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,13-14,2709,2589
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,15,1405,1268
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,16,1254,1168
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,17,1358,1292
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,18,1262,1171
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,19,1063,1045
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,20-24,4977,5691
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,25-29,5397,6088
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,30-34,5119,5458
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,35-39,4802,4881
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,40-44,4182,4198
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,45-49,3583,3524
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,50-54,2790,2597
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,55-59,1927,1627
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,60-64,1293,1479
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,65+,2516,3186
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,0-4,4852,4689
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,5-6,1730,1717
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,7-9,2832,2700
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,10-12,2873,2748
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,13-14,1852,1830
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,15,771,858
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,16,816,792
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,17,768,789
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,18,711,658
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,19,609,633
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,20-24,3402,3794
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,25-29,4164,4258
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,30-34,3375,3372
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,35-39,3100,2856
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,40-44,2215,2249
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,45-49,1786,1918
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,50-54,1360,1311
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,55-59,830,768
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,60-64,584,711
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,65+,956,1323
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,0-4,14376,13886
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,5-6,5709,5274
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,7-9,8887,8290
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,10-12,8493,8182
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,13-14,5588,5297
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,15,2667,2341
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,16,2422,2354
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,17,2394,2326
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,18,2259,2166
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,19,2352,2148
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,20-24,10896,11076
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,25-29,11133,11408
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,30-34,10251,10122
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,35-39,9412,9284
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,40-44,8040,7931
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,45-49,6737,6834
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,50-54,5845,5290
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,55-59,3815,3424
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,60-64,2083,2144
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,65+,3996,4782
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,0-4,7319,6952
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,5-6,2598,2415
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,7-9,4351,4120
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,10-12,4536,4202
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,13-14,2860,2700
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,15,1373,1267
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,16,1253,1224
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,17,1284,1206
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,18,1245,1182
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,19,1132,1063
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,20-24,6075,6348
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,25-29,6638,6914
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,30-34,6187,6410
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,35-39,5741,5354
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,40-44,4581,4335
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,45-49,3816,3726
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,50-54,3096,2948
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,55-59,2203,1847
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,60-64,1492,1691
