Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
PENAJAM PASER UTARA,11126,11019,10913.25,10807,10773,10199,10069,9874
TANA TIDUNG,-,-,-,-,-,-,-,-
MAHAKAM ULU,7364,7281,7161.86,7071,7036,-,-,-
KOTA BALIKPAPAN,14254,13883,13704.93,13439,13333,13127,12922,12813
KOTA SAMARINDA,14175,14010,13825.19,13538,13455,13292,13128,13061
KOTA TARAKAN,-,-,-,-,-,-,-,-
KOTA BONTANG,16271,16157,15979.7,15878,15820,15318,15271,15096
KALIMANTAN UTARA,8643,8434,8353.97,8289,8229,0,0,0
MALINAU,9586,9529,9415.13,9343,9301,9135,8969,8928
BULONGAN,9094,8933,8876.92,8852,8817,8534,8501,8467
TANA TIDUNG,7207,6919,6807.14,6696,6585,6391,6197,6128
NUNUKAN,6680,6333,6198.54,6105,5991,5716,5689,5663
KOTA TARAKAN,10841,10715,10642.46,10581,10449,10354,10073,10010
SULAWESI UTARA,10422,10148,9729.11,9628,9583,9430,9113,8935
BOLAANG MONGONDOW,9761,9657,9368.99,9107,9047,8928,8647,8510
MINAHASA,12026,11827,11405.39,11320,11235,11067,10737,10553
KEPULAUAN SANGIHE,11111,10959,10535.56,10460,10385,10163,9772,9460
KEPULAUAN TALAUD,8268,8184,8007.55,7907,7808,7641,7312,7130
MINAHASA SELATAN,11162,11133,10673.67,10549,10425,10183,9740,9468
MINAHASA UTARA,11075,10789,10410.25,10339,10269,10129,9827,9679
BOLAANG MONGONDOW UTARA,8739,8593,8211.63,8131,8052,7896,7592,7376
SIAU TAGULANDANG BIARO,7812,7742,7537.07,7442,7349,7166,6821,6624
MINAHASA TENGGARA,10105,10002,9678.51,9528,9472,9362,9088,8960
BOLAANG MONGONDOW SELATAN,8452,8371,8242.15,8183,8125,8009,7731,7598
BOLAANG MONGONDOW TIMUR,8568,8361,8025.18,7965,7905,7787,7505,7368
KOTA MANADO,13477,13253,12932.98,12904,12767,12631,12332,12282
KOTA BITUNG,11895,11718,11513.37,11348,11233,11120,10843,10711
KOTA TOMOHON,11323,10936,10469.28,10367,10265,10110,9792,9620
KOTA KOTAMOBAGU,10366,10084,9742.83,9546,9402,9261,8956,8798
SULAWESI TENGAH,9311,9034,8767.73,8602,8501,8286,8077,7988
BANGGAI KEPULAUAN,7440,7286,7160.8,7038,6975,6745,6581,6535
BANGGAI,9516,9144,8895.26,8718,8674,8447,8287,8245
MOROWALI,11012,10575,10244.56,10059,9989,9707,9480,9350
POSO,8781,8345,7971.11,7869,7768,7430,7161,7012
DONGGALA,7924,7802,7407.17,7237,7184,6811,6645,6596
TOLI-TOLI,7916,7493,7156.38,6959,6863,6565,6335,6224
BUOL,7934,7740,7474.66,7431,7338,7067,6979,6892
PARIGI MOUTONG,9488,9351,9150.19,8723,8663,8421,8246,8190
TOJO UNA-UNA,7465,7361,7171.3,7111,6998,6709,6487,6385
SIGI,8113,7714,7375.59,7238,7140,6773,6477,6303
BANGGAI LAUT,7693,7529,7406.34,7324,7243,-,-,-
MOROWALI UTARA,8842,8594,8422.36,8309,8212,-,-,-
KOTA PALU,14871,14663,14544.59,14413,14283,14090,13963,13954
SULAWESI SELATAN,10489,10281,9991.72,9723,9632,9560,9459,9331
KEPULAUAN SELAYAR,8436,8123,7792.68,7656,7564,7506,7423,7311
BULUKUMBA,10217,10040,9776.51,9618,9145,9136,9127,9022
BANTAENG,10751,10596,10466.94,10294,10226,10117,9984,9822
JENEPONTO,8747,8559,8489.37,8417,8348,8305,8237,8138
TAKALAR,9845,9759,9422.61,9351,9280,9165,9026,8858
GOWA,9009,8717,8577.84,8515,8455,8420,8361,8270
SINJAI,8816,8706,8433.26,8272,8203,8092,7957,7794
MAROS,10121,9758,9468.48,9355,9258,9155,9069,8920
PANGKAJENE DAN KEPULAUAN,10837,10670,10516.69,10161,10090,10058,9892,9754
BARRU,10285,10155,9811.07,9733,9655,9501,9325,9121
BONE,8470,8275,7930.4,7845,7785,7722,7635,7518
SOPPENG,9035,8965,8835.38,8699,8603,8489,8351,8186
WAJO,11770,11681,11047.41,10778,10705,10618,10506,10364
SIDENRENG RAPPANG,11523,11368,11004.43,10434,10416,10398,10380,10318
PINRANG,11279,10899,10790.72,10680,10605,10514,10398,10253
ENREKANG,10359,10188,9817.97,9347,9250,9179,9084,8959
LUWU,9381,9301,9159.93,8764,8687,8636,8560,8454
TANA TORAJA,6801,6509,6273.05,6214,6156,6124,6066,5978
LUWU UTARA,11101,10786,10697.29,10605,10541,10471,10375,10250
LUWU TIMUR,12030,11960,11925.89,11859,11844,11828,11813,11754
TORAJA UTARA,7457,7228,7032.7,6955,6879,6803,6703,6670
KOTA MAKASSAR,16367,16013,15669.37,15079,14947,14907,14842,14746
KOTA PARE-PARE,13078,12966,12816.74,12692,12554,12419,12259,12071
KOTA PALOPO,12319,12156,12005.1,11713,11590,11493,11372,11252
SULAWESI TENGGARA,9094,8871,8697.4,8555,8537,8396,8249,8126
BUTON,7117,6950,6828.5,6660,6643,6498,6356,6217
MUNA,8000,7928,7742.03,7666,7592,7072,6892,6758
KONAWE,9857,9696,9471.35,9396,9320,8917,8846,8793
KOLAKA,12243,12072,11941.55,11699,11683,11160,10971,10804
KONAWE SELATAN,8798,8660,8386.11,8301,8217,7703,7581,7428
BOMBANA,7908,7607,7392.41,7236,7173,6781,6721,6662
WAKATOBI,8800,8651,8484.17,8306,8295,7850,7739,7648
KOLAKA UTARA,9941,9846,9535.49,9489,9472,8935,8734,8555
BUTON UTARA,7249,7168,6997.99,6850,6835,6583,6330,6263
KONAWE UTARA,8943,8822,8619.29,8397,8294,7866,7688,7594
KOLAKA TIMUR,7499,7283,7156.97,7094,7032,-,-,-
KONAWE KEPULAUAN,6458,6227,6093.09,6039,5986,-,-,-
MUNA BARAT,7288,7221,7063.28,6855,-,-,-,-
BUTON TENGAH,7012,6860,6758.61,6658,-,-,-,-
BUTON SELATAN,7075,6859,6715.35,6571,-,-,-,-
KOTA KENDARI,13995,13828,13558.15,13430,13303,12788,12607,12547
KOTA BAU-BAU,10223,10110,9852.05,9764,9677,9180,9017,8875
GORONTALO,9532,9175,9035.12,8762,8719,8673,8293,8207
BOALEMO,8325,7895,7817.37,7598,7566,7516,7467,7417
GORONTALO,8828,8589,8398.27,8032,7973,7914,7495,7474
POHUWATO,9715,9381,9145.93,8925,8889,8644,8524,8465
BONE BOLANGO,9597,9115,8900.08,8669,8601,8332,8062,7805
GORONTALO UTARA,8480,8270,8178.15,7999,7948,7847,7552,7409
KOTA GORONTALO,11651,11360,11269.43,11019,10965,10943,10788,10633
SULAWESI BARAT,8736,8450,8259.98,8170,8148,8091,8049,8003
MAJENE,9559,9441,9226.81,9138,9123,9101,9078,9056
POLEWALI MANDAR,7947,7559,7330.61,7220,7121,7024,6928,6833
MAMASA,7353,7231,7102.49,7022,6963,6639,6584,6493
MAMUJU,9019,8689,8556.59,8494,8406,8318,8232,8146
MAMUJU UTARA,10577,10264,10149.94,9989,9921,9498,8928,8481
MAMUJU TENGAH,7931,7521,7404.22,7374,7353,-,-,-
MALUKU,8433,8215,8025.6,7925,7872,7727,7437,7362
MALUKU TENGGARA BARAT,6032,5901,5696.76,5600,5523,5372,5185,4998
MALUKU TENGGARA,7302,7063,6851.32,6804,6725,6569,6270,6185
MALUKU TENGAH,9875,9672,9578.22,9547,9495,9391,9143,9108
BURU,10036,9806,9615.09,9420,9348,9143,8795,8662
KEPULAUAN ARU,7334,7080,6940.79,6891,6846,6670,6352,6247
SERAM BAGIAN BARAT,8333,8121,7920.56,7779,7734,7621,7365,7321
SERAM BAGIAN TIMUR,9058,8848,8614.79,8492,8395,8299,8058,8030
MALUKU BARAT DAYA,6508,6298,6188.67,6150,6088,5964,5697,5643
BURU SELATAN,7337,7175,7025.87,6915,6844,6681,6545,6282
KOTA AMBON,13699,13497,13317.67,13146,13047,12862,12535,12421
KOTA TUAL,7012,6803,6683,6642,6553,6420,6144,6081
MALUKU UTARA,7792,7545,7423.3,7234,7200,7059,6935,6813
HALMAHERA BARAT,7266,7076,6889.44,6697,6668,6356,6244,5911
HALMAHERA TENGAH,7688,7481,7358.67,7130,7044,6790,6537,6162
KEPULAUAN SULA,6859,6741,6545.19,6491,6467,6318,6210,5859
HALMAHERA SELATAN,7026,6894,6791.48,6704,6637,6433,6369,6109
HALMAHERA UTARA,7302,7110,6957.42,6746,6675,6401,6266,6135
HALMAHERA TIMUR,7841,7560,7410.41,7212,7193,7139,6804,6682
PULAU MOROTAI,6167,5888,5809,5720,5693,5452,5352,-
PULAU TALIABU,6306,6208,6157.83,5935,5877,-,-,-
KOTA TERNATE,12989,12643,12528.79,12454,12343,12139,12075,11817
KOTA TIDORE KEPULAUAN,8044,7772,7631.34,7454,7401,7111,6962,6919
PAPUA BARAT,7493,7175,7063.88,6944,6896,6732,6709,6677
FAKFAK,7057,6935,6795.92,6731,6662,5793,5558,5333
KAIMANA,7752,7538,7340.72,7224,7167,6850,6532,6430
TELUK WONDAMA,7694,7434,7317.18,7222,7162,6884,6606,6340
TELUK BINTUNI,9463,9208,9128.73,8929,8862,8537,8211,7898
MANOKWARI,11595,11440,11327.54,11069,10987,10584,10182,9399
SORONG SELATAN,5904,5644,5549.53,5520,5483,5267,5052,4845
SORONG,6975,6563,6456.88,6436,6365,5706,5643,5580
RAJA AMPAT,7508,7393,7190.89,7061,7020,6729,6437,6343
TAMBRAUW,4626,4561,4431.46,4405,4339,4020,3702,-
MAYBRAT,4905,4692,4575.61,4562,4519,4309,4099,-
MANOKWARI SELATAN,5012,4702,4578.05,4149,4109,-,-,-
PEGUNUNGAN ARFAK,4683,4594,4569.73,4563,4522,-,-,-
KOTA SORONG,13141,12858,12589.9,12515,12455,11786,11776,11765
PAPUA,6996,6637,6468.55,6416,6394,6349,6303,6251
MERAUKE,10277,10016,9952.62,9882,9841,9795,9754,9633
JAYAWIJAYA,7524,7282,7067.97,6989,6875,6628,6413,6307
JAYAPURA,10055,9653,9622.44,9597,9586,9575,9565,9470
NABIRE,8983,8779,8725.39,8652,8615,8589,8552,8455
KEPULAUAN YAPEN,7605,7414,7319.93,7241,7199,7156,7092,6997
BIAK NUMFOR,9812,9647,9603.09,9553,9520,9486,9431,9311
PANIAI,6355,6191,6161.49,6086,6026,5970,5911,5786
PUNCAK JAYA,5341,5089,4979.03,4938,4908,4863,4833,4728
MIMIKA,11591,11169,10952.21,10873,10849,10822,10772,10664
BOVEN DIGOEL,8048,7770,7717.08,7646,7625,7598,7571,7454
MAPPI,6143,5951,5780.37,5709,5655,5600,5548,5472
ASMAT,5771,5601,5533.33,5485,5427,5378,5322,5208
YAHUKIMO,4554,4248,4108.8,4081,4068,4055,4043,3954
PEGUNUNGAN BINTANG,5506,5289,5176.46,5095,5052,5010,4938,4846
TOLIKARA,4827,4711,4518.13,4468,4412,4356,4310,4264
SARMI,6723,6417,6379.31,6358,6342,6318,6301,6190
KEEROM,8824,8671,8608.73,8514,8475,8437,8397,8307
WAROPEN,6810,6270,6070.48,5989,5979,5970,5961,5803
SUPIORI,5655,5379,5180.11,5098,5060,5023,4985,4927
MAMBERAMO RAYA,4596,4387,4324.08,4303,4241,4186,4125,4012
NDUGA,3972,3725,3625.36,3607,3542,3406,3344,3214
LANNY JAYA,4356,4106,3964.78,3901,3882,3863,3845,3826
MAMBERAMO TENGAH,4510,4219,4051.07,3985,3964,3921,3901,3844
YALIMO,4702,4435,4320.63,4298,4247,4197,4123,4016
PUNCAK,5413,5181,5117.57,5010,4986,4919,4872,4752
DOGIYAI,5375,5190,5119.59,5061,4992,4924,4897,4769
INTAN JAYA,5293,5038,5014.55,4995,4961,4928,4920,-
DEIYAI,4597,4383,4320.07,4293,4281,4262,4244,-
KOTA JAYAPURA,14781,14319,14249.43,14172,14088,14004,13960,13903
INDONESIA,10664,10420,10149.67,9903,9858,9815,9647,9437
,,,,,,,,
,,,,,,,,
