Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
BENGKALIS,11530,11325,10965.37,10661,10598,10429,10300,10172
ROKAN HILIR,9250,9181,9176.5,9051,8962,8784,8656,8281
KEPULAUAN MERANTI,7673,7194,7030,6945,6876,6863,6849,-
KOTA PEKANBARU,14497,14225,14126.1,14023,13891,13805,13719,13633
KOTA DUMAI,11699,11531,11058.1,10870,10735,10499,10162,9593
JAMBI,9880,9795,9446.18,9141,9066,8944,8664,8478
KERINCI,9501,9374,9075.93,8865,8748,8568,8501,8405
MERANGIN,9753,9644,9456.06,9108,9047,8954,8791,8517
SAROLANGUN,11478,11349,11168.72,10985,10912,10847,10378,10009
BATANG HARI,9573,9512,9407.06,9220,9122,9099,8924,8834
MUARO JAMBI,8145,7990,7629.78,7297,7208,7021,6692,6457
TANJUNG JABUNG TIMUR,8403,8136,7809.56,7699,7455,7316,7267,7220
TANJUNG JABUNG BARAT,9004,8872,8477.81,8105,7881,7736,7345,7244
TEBO,9832,9745,9434.19,9145,9001,8811,8681,8581
BUNGO,11016,10937,10676.35,10481,10365,10326,10134,10027
KOTA JAMBI,11648,11436,10890.92,10355,10192,10073,9805,9718
KOTA SUNGAI PENUH,9707,9604,9502.25,9328,9266,8996,8586,8273
SUMATERA SELATAN,10220,9935,9474.21,9302,9231,9040,8803,8536
OGAN KOMERING ULU,9340,8993,8922.98,8848,8782,8470,8277,8029
OGAN KOMERING ILIR,10306,10039,9723.4,9517,9395,9176,8962,8694
MUARA ENIM,10575,9766,9396.62,9051,8927,8406,8107,7881
LAHAT,9157,9037,8700.24,8628,8565,8305,8162,7963
MUSI RAWAS,9218,9140,8876,8787,8693,8362,8152,7888
MUSI BANYUASIN,9705,9452,8850.5,8772,8614,8059,7700,7584
BANYU ASIN,9328,8899,8539.15,8218,8157,7686,7519,7293
OGAN KOMERING ULU SELATAN,7997,7902,7581.1,7380,7254,7018,6568,6214
OGAN KOMERING ULU TIMUR,11169,11024,10862.05,10767,10537,10106,9692,9558
OGAN ILIR,9972,9846,9809.48,9689,9548,9208,8940,8620
EMPAT LAWANG,9010,8944,8726.51,8656,8586,8393,8317,8182
PENUKAL ABAB LEMATANG ILIR,7834,7491,7197.04,6941,6851,-,-,-
MUSI RAWAS UTARA,9348,9272,9051.05,8892,8823,-,-,-
KOTA PALEMBANG,14277,13981,13784.85,13624,13393,12962,12654,12295
KOTA PRABUMULIH,12355,12162,12045.82,11775,11626,11279,11052,10771
KOTA PAGAR ALAM,8352,7989,7600.19,7273,7102,6774,6567,6307
KOTA LUBUKLINGGAU,12878,12798,12331.47,12233,12070,11668,11381,11287
BENGKULU,9778,9492,9122.88,8864,8803,8682,8572,8459
BENGKULU SELATAN,9202,9044,8951.06,8777,8606,8566,8526,8486
REJANG LEBONG,9660,9520,9050,8869,8813,8631,8469,8320
BENGKULU UTARA,9698,9566,9443.81,9293,9145,9025,8923,8832
KAUR,7914,7842,7598.53,7232,7114,7022,6947,6883
SELUMA,7584,7335,7077.27,6894,6870,6807,6761,6726
MUKOMUKO,9770,9482,9295.76,9269,9243,9203,9179,9165
LEBONG,10810,10682,10362.71,10210,10132,9914,9601,9167
KEPAHIANG,8866,8701,8605.14,8545,8486,8307,8197,8082
BENGKULU TENGAH,8701,8425,8162.99,7885,7865,7799,7749,7710
KOTA BENGKULU,13164,12698,12276.82,11873,11759,11518,11299,11095
LAMPUNG,9413,9156,8729.32,8476,8415,8273,8118,7964
LAMPUNG BARAT,9517,9106,8801.2,8459,8397,8169,8045,7913
TANGGAMUS,8661,8483,7961.47,7880,7835,7599,7466,7274
LAMPUNG SELATAN,9310,9189,8746.47,8441,8384,8076,7730,7321
